Hat,Robe,Boots,Wand,Athame,Amulet,Ring,Pet,Mount,Deck,Max Health,Damage,Flat Damage,Resistance,Flat Resistance,Accuracy,Critical Rating,Critical Block Rating,Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Gear Set,Adjusted Health,Balanced Rating,Mob R1 Dmg,Mob HighRes R1 Dmg,Boss R1 Dmg
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8638,103,0,61,0,0,374,387,8,0,6,8,560,100,117,136,300,Dragoon's Shocking Set (1x),15958,29918,1851,1234,1520
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8638,130,0,61,0,5,511,374,16,0,6,8,742,100,117,136,300,Dragoon's Shocking Set (1x),15958,34758,2458,1721,2016
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8638,127,0,61,0,5,530,358,20,0,6,8,560,100,138,136,300,Dragoon's Shocking Set (1x),15958,35198,2563,1831,2106
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8638,103,0,61,0,0,381,347,8,0,6,8,660,90,117,136,300,Dragoon's Shocking Set (1x),15958,29918,1857,1238,1524
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8638,130,0,61,0,5,518,334,16,0,6,8,842,90,117,136,300,Dragoon's Shocking Set (1x),15958,34758,2464,1725,2020
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),8638,127,0,61,0,5,537,318,20,0,6,8,660,90,138,136,300,Dragoon's Shocking Set (1x),15958,35198,2569,1835,2111
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7911,84,0,67,0,0,366,452,8,0,14,22,560,85,105,136,300,No Gear Set,15951,27631,1672,1114,1373
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7911,111,0,67,0,5,503,439,16,0,14,22,742,85,105,136,300,No Gear Set,15951,32471,2249,1574,1845
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7911,108,0,67,0,5,522,423,20,0,14,22,560,85,126,136,300,No Gear Set,15951,32911,2343,1673,1925
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7911,84,0,67,0,0,373,412,8,0,14,22,660,75,105,136,300,No Gear Set,15951,27631,1677,1118,1377
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7911,111,0,67,0,5,510,399,16,0,14,22,842,75,105,136,300,No Gear Set,15951,32471,2255,1578,1849
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7911,108,0,67,0,5,529,383,20,0,14,22,660,75,126,136,300,No Gear Set,15951,32911,2348,1677,1929
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7907,88,0,67,0,0,347,472,8,0,14,10,560,93,105,191,300,No Gear Set,15947,28107,1693,1128,1393
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7907,115,0,67,0,5,484,459,16,0,14,10,742,93,105,191,300,No Gear Set,15947,32947,2277,1594,1869
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7907,112,0,67,0,5,503,443,20,0,14,10,560,93,126,191,300,No Gear Set,15947,33387,2373,1695,1951
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fierce Dream Reaver Knife (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8624,122,0,61,0,0,544,400,8,0,6,20,560,78,117,191,300,Dragoon's Shocking Set (1x),15944,32184,2158,1439,1758
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fierce Dream Reaver Knife (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8624,149,0,61,0,5,681,387,16,0,6,20,742,78,117,191,300,Dragoon's Shocking Set (1x),15944,37024,2791,1953,2286
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fierce Dream Reaver Knife (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8624,146,0,61,0,5,700,371,20,0,6,20,560,78,138,191,300,Dragoon's Shocking Set (1x),15944,37464,2908,2077,2389
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8381,111,0,63,0,8,424,411,7,0,6,8,560,92,97,191,300,Dragoon's Shocking Set (1x),15941,30661,1939,1283,1585
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8381,138,0,63,0,13,561,398,15,0,6,8,742,92,97,191,300,Dragoon's Shocking Set (1x),15941,35501,2552,1776,2089
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8381,135,0,63,0,13,580,382,19,0,6,8,560,92,118,191,300,Dragoon's Shocking Set (1x),15941,35941,2662,1892,2185
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7654,92,0,69,0,8,416,476,7,0,14,22,560,77,85,191,300,No Gear Set,15934,28374,1758,1164,1438
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7654,119,0,69,0,13,553,463,15,0,14,22,742,77,85,191,300,No Gear Set,15934,33214,2342,1631,1918
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7654,116,0,69,0,13,572,447,19,0,14,22,560,77,106,191,300,No Gear Set,15934,33654,2441,1735,2003
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8611,121,0,61,0,0,463,387,8,0,6,8,560,106,117,136,300,Dragoon's Shocking Set (1x),15931,32051,2091,1394,1707
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),8611,148,0,61,0,5,600,374,16,0,6,8,742,106,117,136,300,Dragoon's Shocking Set (1x),15931,36891,2723,1906,2230
